;Value;tweet;cleaning
524;Negatif;@PLindungi Saya sudah coba tapi tidak bisa ketemu datanya dan saya sudah kirim email juga mohon di proses;saya sudah coba tapi tidak bisa ketemu datanya dan saya sudah kirim email juga mohon di proses
525;Negatif;@PLindungi saya mau tanya. Tadi mertua saya antigen di Bumame Bandung kenapa hasilnya belum masuk aplikasi ya? Dari pihak @bumame_farmasi sudah konfirmasi kalau sudah input data soalnya;saya mau tanya tadi mertua saya antigen di bumame bandung kenapa hasilnya belum masuk aplikasi ya dari pihak farmasi sudah konfirmasi kalau sudah input data soalnya
526;Negatif;@PLindungi Saya mau menanyakan masalah tentang vaksin atas nama rina pelani yg dimana pada tgl 27 september 2021 telah melakukan vaksin pertama di kantor desa pondok jaya sepatan tangerang kabupaten? Tetapi setelah di lakukan pengecekan di aplikasi yg di;saya mau menanyakan masalah tentang vaksin atas nama rina pelani yg dimana pada tgl september telah melakukan vaksin pertama di kantor desa pondok jaya sepatan tangerang kabupaten tetapi setelah di lakukan pengecekan di aplikasi yg di
527;Negatif;@PLindungi saya mau log in tapi kode OTP-nya tidak pernah masuk ke email. Kegiatan sehari-hari saya jadi terhambat. Bagaimana solusinya? Tolong segera diperbaiki, mengingat aplikasi ini sudah digunakan di mana-mana. Sertifikat vaksin kedua saya pun belum ;saya mau log in tapi kode otpnya tidak pernah masuk ke email kegiatan seharihari saya jadi terhambat bagaimana solusinya tolong segera diperbaiki mengingat aplikasi ini sudah digunakan di manamana sertifikat vaksin kedua saya pun belum
528;Negatif;@PLindungi saya mau log in di HP lain, kenapa hanya bisa masuk seperti ini ya...?  https://t.co/K0pkWwIH8B;saya mau log in di hp lain kenapa hanya bisa masuk seperti ini ya
529;Negatif;@PLindungi saya juga gak bisa dpt surat tanda sudah divaksin. Jadi akses mau kemana2 susah. Ke luar kota pun susah, jgnkan luar kota. Beli makan di resto aja nunjukin sertifikat vaksin. ????;saya juga gak bisa dpt surat tanda sudah divaksin jadi akses mau kemana susah ke luar kota pun susah jgnkan luar kota beli makan di resto aja nunjukin sertifikat vaksin
530;Negatif;@PLindungi saya ga ada di kirim inbox jadwal vaksin kedua padahal harusnya tanggal 27 Oktober saya harusnya di vaksin kedua bila merunut pada jadwal 3 minggu setelah vaksin pertama. Vaksin pertama tgl 6 Oktober 2021;saya ga ada di kirim inbox jadwal vaksin kedua padahal harusnya tanggal oktober saya harusnya di vaksin kedua bila merunut pada jadwal minggu setelah vaksin pertama vaksin pertama tgl oktober
531;Negatif;@PLindungi Saya di vaksin pertama ko data vaksin nya belum muncul sampai sekarang sudah mau 2 bulan;saya di vaksin pertama ko data vaksin nya belum muncul sampai sekarang sudah mau bulan
532;Negatif;@PLindungi saya coba register pedulilindungi, nomor hp sudah benar tapi tidak terima otp. Sudah saya ulangi berkali-kali tapi tetep tidak terima otp. Mohon bantuannya ???;saya coba register pedulilindungi nomor hp sudah benar tapi tidak terima otp sudah saya ulangi berkalikali tapi tetep tidak terima otp mohon bantuannya
533;Negatif;@PLindungi saya buka apk, mentok disini. Solusinya bagaimana?  https://t.co/SE73wZ3F4g;saya buka apk mentok disini solusinya bagaimana
534;Negatif;@PLindungi saya blm dapat kartu vaksin, padahal sudah vaksin tgl 1 oktober 2021;saya blm dapat kartu vaksin padahal sudah vaksin tgl oktober
535;Negatif;@PLindungi Sampai vaksin ke 2 belum terima sertifikat vaksin  NIK malah di pakai atas nama orang lain saya sdh kirim email juga mohon pethatiannya;sampai vaksin ke belum terima sertifikat vaksin nik malah di pakai atas nama orang lain saya sdh kirim email juga mohon pethatiannya
536;Negatif;@PLindungi sampai sekarang belum juga ada tanggapan baru hari ini mulai panik soalnya mama juga butuh sertifikat nya sudah coba login di  https://t.co/XKSQ5kSISP tapi malah gini keluar nya padahal saya sekeluarga bertiga barengan ditanggal yang sama dan s;sampai sekarang belum juga ada tanggapan baru hari ini mulai panik soalnya mama juga butuh sertifikat nya sudah coba login di tapi malah gini keluar nya padahal saya sekeluarga bertiga barengan ditanggal yang sama dan 
537;Negatif;@PLindungi sampai saat ini setifikat vaksin pertama dan kedua tidak muncul padahal saya sudah email untuk meminta sertifikat vaksin pertama dan kedua. Saya vaksin pertama tanggal 27 juli 2021 dan kedua 25 agustus 2021.  https://t.co/lrreAWuzPc;sampai saat ini setifikat vaksin pertama dan kedua tidak muncul padahal saya sudah email untuk meminta sertifikat vaksin pertama dan kedua saya vaksin pertama tanggal juli dan kedua agustus
538;Negatif;@PLindungi Punya saya sudah 1minggu ga muncul2 eh malah muncul punya orang lain  https://t.co/LFtlNSVfIR;punya saya sudah minggu ga muncul eh malah muncul punya orang lain
539;Negatif;@PLindungi Punya aku data nya belum di infut sama petugas nya wal hasil sertifikat ke 2 tetep zonk;punya aku data nya belum di infut sama petugas nya wal hasil sertifikat ke tetep zonk
540;Negatif;@PLindungi pls ini kenapa ya?? mohon bantuannyaa scptnyað­ bsk ayahku mau berangkat, kalau ga tar hp aku yg dibawaa, plssss toloonggg @PLindungi  https://t.co/LRniLiTwuF;pls ini kenapa ya mohon bantuannyaa scptnya bsk ayahku mau berangkat kalau ga tar hp aku yg dibawaa plssss toloonggg
541;Negatif;@PLindungi pie iki bapakku wes vaksin pertama, nomer telpon ono NIK ono kabeh syarat e ono, begitu download app malah ra metu sertifikat e. Pie iki??;pie iki bapakku wes vaksin pertama nomer telpon ono nik ono kabeh syarat  ono begitu download app malah ra metu sertifikat  pie iki
542;Negatif;@PLindungi Petugas salah input nmr hp gmn caranya min?;petugas salah input nmr hp gmn caranya min
543;Negatif;@PLindungi Pedulilindungi saya gk bisa ubah profil akun pedulilindungi saya ,,,saya mau ganti nama kok gk bisa;pedulilindungi saya gk bisa ubah profil akun pedulilindungi saya saya mau ganti nama kok gk bisa
544;Negatif;@PLindungi parah nih min ko ga ada sertifikat yg ke 2 padahal udah vaksin;parah nih min ko ga ada sertifikat yg ke padahal udah vaksin
545;Negatif;@PLindungi pagi.. saya mau tanya perihal sertifikat vaksin saya yg sudah 2minggu masih belum muncul. Mohon bantuannya;pagi saya mau tanya perihal sertifikat vaksin saya yg sudah minggu masih belum muncul mohon bantuannya
546;Negatif;@PLindungi Pagi min. Tolong cek dm saya ni dah di senyumin Byungchan. ALIAS PENTING.  https://t.co/v9xBNkvLJ1;pagi min tolong cek dm saya ni dah di senyumin byungchan alias penting
547;Negatif;@PLindungi Pagi min, bisa dibantu untuk yg sudah vaksin tahap 2 namun sudah H+13 masih belum ada sertivikat di aplikasi dan di web nya  terimakasih sebelnya;pagi min bisa dibantu untuk yg sudah vaksin tahap namun sudah  masih belum ada sertivikat di aplikasi dan di web nya terimakasih sebelnya
548;Negatif;@PLindungi Pagi apakah aplikasi bermasalah? Saya tidak dapat izin masuk kemana-mana dari hari kemarin dan kata di data belum divaksin tapi sudah komplit 2 dosis.;pagi apakah aplikasi bermasalah saya tidak dapat izin masuk kemanamana dari hari kemarin dan kata di data belum divaksin tapi sudah komplit dosis
549;Negatif;@PLindungi pada tanggal 21 Oktober 2021 saya sudah vaksin dosis kedua. Tapi hingga hari ini, tgl 05 November 2021, sertifikat kedua belum muncul di Peduli Lindungi. Apa yang harus kulakukan? Kalau diharuskan vaksin lagi untuk kali kedua kan lucu banget?  ;pada tanggal oktober saya sudah vaksin dosis kedua tapi hingga hari ini tgl november sertifikat kedua belum muncul di peduli lindungi apa yang harus kulakukan kalau diharuskan vaksin lagi untuk kali kedua kan lucu banget
550;Negatif;@PLindungi p, sertif vaksin 2 kg dpt dpt dr 21 oktober.; sertif vaksin kg dpt dpt dr oktober
551;Negatif;@PLindungi OTP g masuk2, aplikasi sampah.  Diwajibin, tapi ga becus buatnya.;otp  masuk aplikasi sampah diwajibin tapi ga becus buatnya
552;Negatif;@PLindungi nomor hp sayaaa gak bisa diverifikasi min udah berapa kalii cobaaa, padahal mau daftar vaksin:((;nomor hp sayaaa gak bisa diverifikasi min udah berapa kalii cobaaa padahal mau daftar vaksin
553;Negatif;@PLindungi Nomer yg di daftar kan petugas puskesmas salah kak saat vaksin. Mohon bantuan untuk membenarkan nomernya ð;nomer yg di daftar kan petugas puskesmas salah kak saat vaksin mohon bantuan untuk membenarkan nomernya
554;Negatif;@PLindungi no hp orang tua saya salah  Gimna cara nya nya biar dapat sertifikat vaksin nya y;no hp orang tua saya salah gimna cara nya nya biar dapat sertifikat vaksin nya 
555;Negatif;@PLindungi Ngapa gabisa login ya? Error kah? @PLindungi;ngapa gabisa login ya error kah
556;Negatif;@PLindungi Nenek saya sudah 2 kali vaksin, tapi sampai detik ini sertifikatnya belum muncul di aplikasi PeduliLindungi. Di aplikasi dibilang NIK tidak terdaftar. Padahal, waktu dicek oleh petugas vaksin nya betul kok NIK nya. Kita sudah hubungi 119 berkal;nenek saya sudah kali vaksin tapi sampai detik ini sertifikatnya belum muncul di aplikasi pedulilindungi di aplikasi dibilang nik tidak terdaftar padahal waktu dicek oleh petugas vaksin nya betul kok nik nya kita sudah hubungi berkal
557;Negatif;@PLindungi nama saya di aplikasi @PLindungi tidak valid, kenapa ya?;nama saya di aplikasi tidak valid kenapa ya
558;Negatif;@PLindungi My vaccination certificate was issued under the wrong name. I wrote about the certificate 1.5 months ago to the following address: sertyfikat@pedulilindungi.id. There has been no progress since 1.5 months. I need a paper certificate with correc;my vaccination certificate was issued under the wrong name  wrote about the certificate months ago to the following address sertyfikat id there has been no progress since months  need  paper certificate with correc
559;Negatif;@PLindungi mohon untuk cek dan Balas DM!;mohon untuk cek dan balas dm
560;Negatif;@PLindungi mohon tanya apakah akun ini masih aktif? Saya DM tidak pernah dijawab.;mohon tanya apakah akun ini masih aktif saya dm tidak pernah dijawab
561;Negatif;@PLindungi mohon tanggapannya, sy sdh vaksin ke-1, saat scan utk kunjungi ruang publik, status sy MERAH Cc: @kominfodiy @kemkominfo  https://t.co/vPYPdWW6MD;mohon tanggapannya sy sdh vaksin ke saat scan utk kunjungi ruang publik status sy merah cc
562;Negatif;@PLindungi mohon info min untuk rubah tanggal lahir yang salah di sertifikat vaksin gimana?;mohon info min untuk rubah tanggal lahir yang salah di sertifikat vaksin gimana
563;Negatif;@PLindungi mohon ditanggapi permintaan perbaikan NIK yang sdh sy krm via email;mohon ditanggapi permintaan perbaikan nik yang sdh sy krm via email
564;Negatif;@PLindungi mohon bantuannya untuk cek dan balas dm;mohon bantuannya untuk cek dan balas dm
565;Negatif;@plindungi mohon bantuannya saya ada trouble dengan aplikasi PL, saya sudah vaksin 2 kali tapi ketika check-in ke kantor malah notifnya belum vaksin, tolong dibantu;mohon bantuannya saya ada trouble dengan aplikasi pl saya sudah vaksin kali tapi ketika checkin ke kantor malah notifnya belum vaksin tolong dibantu
566;Negatif;@PLindungi Mohon bantuannya sampe hari ini saya tidak menerima sertifikat vaksin pertama..???;mohon bantuannya sampe hari ini saya tidak menerima sertifikat vaksin pertama
567;Negatif;@PLindungi Mohon bantuan dan informasi, Bagaimana cara mendownload sertifikat vaksin apabila saat registrasi vaksin hanya memberikan nomer NIK KTP tetapi tidak menyertakan nomor Hand phone atau email?;mohon bantuan dan informasi bagaimana cara mendownload sertifikat vaksin apabila saat registrasi vaksin hanya memberikan nomer nik ktp tetapi tidak menyertakan nomor hand phone atau email
568;Negatif;@PLindungi mo lapor admin saya sudah vaksin, tapi kenapa di cek via aplikasi atau web data tidak tercantum, lokasi balamoa, kec. pangkah, kab. tegal.;mo lapor admin saya sudah vaksin tapi kenapa di cek via aplikasi atau web data tidak tercantum lokasi balamoa kec pangkah kab tegal
569;Negatif;@PLindungi minta tolong sertifikat vaksin atas nama Sri Hardono, nik 3374163112490010, telah melakukan vaksi kedua pada 01 April 2021 di Puskesmas karang anyar kota Semarang. Sertufikat vaksi tidak keluar, yg bersangkut tidak menyantimkan no telpon;minta tolong sertifikat vaksin atas nama sri hardono nik telah melakukan vaksi kedua pada april di puskesmas karang anyar kota semarang sertufikat vaksi tidak keluar yg bersangkut tidak menyantimkan no telpon
570;Negatif;@PLindungi Minta tolong saya sudah vaksin kedua tgl 13 oktober kemarin sampai saat ini sertifikat kedua belum muncul,sms dr kominfo jg tidak ada sudah tlpon dan email suruh nunggu tenggat waktu utk upload sertifikat vaksin kedua 100 hari,;minta tolong saya sudah vaksin kedua tgl oktober kemarin sampai saat ini sertifikat kedua belum munculsms dr kominfo jg tidak ada sudah tlpon dan email suruh nunggu tenggat waktu utk upload sertifikat vaksin kedua hari
571;Negatif;@PLindungi minta OTP via email tapi 1 jam ga dikirim2.  Jangan sok sokan maksa digital kalau ga becus.;minta otp via email tapi jam ga dikirim jangan sok sokan maksa digital kalau ga becus
572;Negatif;@PLindungi Min...kalau cek in dr apps selain PL, misal spt: jaki...history perjalanan tdk terekam di PL ya? Tgl 16 sy CI di mall sensi via jaki, ketika sy cek di apps PL, tgl 16 oct tdk ada perjalanan;minkalau cek in dr apps selain pl misal spt jakihistory perjalanan tdk terekam di pl ya tgl sy ci di mall sensi via jaki ketika sy cek di apps pl tgl oct tdk ada perjalanan
573;Negatif;@PLindungi min.... kl salah nginput no hp sm alamat gmn ini yah. sertifikat vaksin ke 2 ga muncul nih;min kl salah nginput no hp sm alamat gmn ini yah sertifikat vaksin ke ga muncul nih
574;Negatif;@PLindungi Min... Saya sudah vaksin 2x, tp sampai hari ini tidak dapet sertifikat. Malah namaku belum terdaftar, telpon costumer service sibuk mulu.. sampah ga seh???;min saya sudah vaksin  tp sampai hari ini tidak dapet sertifikat malah namaku belum terdaftar telpon costumer service sibuk mulu sampah ga seh
575;Negatif;@PLindungi min.. untuk yg vaksin Johnson&amp;min untuk yg vaksin johnsonamp
576;Negatif;@PLindungi min, sy udh vaksin 2x tp di aplikasi br 1 x, dan msh kuning, ini gmn y?;min sy udh vaksin  tp di aplikasi br  dan msh kuning ini gmn 
577;Negatif;@PLindungi min, saya udh vaksin. Sertifikat mya jga udh terbit. Tp kenapa status warna nya masih merah yaa?? Help;min saya udh vaksin sertifikat mya jga udh terbit tp kenapa status warna nya masih merah yaa help
578;Negatif;@PLindungi min, saya udh vaksin dosis pertama, sertifikat jga udh terbit di app. Tp kok status warna nya masih tetap merah ya?? Help;min saya udh vaksin dosis pertama sertifikat jga udh terbit di app tp kok status warna nya masih tetap merah ya help
579;Negatif;@PLindungi min, saya sudah vaksin 2x tapi statusnya masih kuning, bagaimana ya min;min saya sudah vaksin  tapi statusnya masih kuning bagaimana ya min
580;Negatif;@PLindungi Min, Saya sudah sebulan yang lalu untuk vaksin dosis kedua tapi belum muncul e-sertifikat vaksin di aplikasi peduli lindungi saya dan juga belum menerima sms bahwa sertifikat kedua telah tersedia. Bagaimana ya, min? Mohon dibalas. Makasih ð;min saya sudah sebulan yang lalu untuk vaksin dosis kedua tapi belum muncul esertifikat vaksin di aplikasi peduli lindungi saya dan juga belum menerima sms bahwa sertifikat kedua telah tersedia bagaimana ya min mohon dibalas makasih
581;Negatif;@PLindungi min, petugasnya salah input data tanggal lahirdi sertifikat vaksin saya. cara gantinya gmn ya;min petugasnya salah input data tanggal lahirdi sertifikat vaksin saya cara gantinya gmn ya
582;Negatif;@PLindungi min, mau tanya . Saat saya download aplikasi peduli lindungi, langsung muncul seperti ini . Saya klik ceklis nya , tapi sehabis itu tidak ada respon apa apa . Gimana ya ?  https://t.co/pmK4lxzRMH;min mau tanya saat saya download aplikasi peduli lindungi langsung muncul seperti ini saya klik ceklis nya tapi sehabis itu tidak ada respon apa apa gimana ya
583;Negatif;@PLindungi min, mama saya sudah vaksin dosis kedua tanggal 14/10/2021 dan sampai sekarang tanggal 17/10/2021 kenapa yah sertifikat kedua belum juga muncul, sudah positif thinking kalau mungkin aja masih eror atau kendala apk jadi masih tenang cuma email k;min mama saya sudah vaksin dosis kedua tanggal dan sampai sekarang tanggal kenapa yah sertifikat kedua belum juga muncul sudah positif thinking kalau mungkin aja masih eror atau kendala apk jadi masih tenang cuma email 
584;Negatif;@PLindungi min, lagi gak bisa di akses atau gimana ini ya, kok saya gak bisa buka appnya dari tadi?;min lagi gak bisa di akses atau gimana ini ya kok saya gak bisa buka appnya dari tadi
585;Negatif;@PLindungi Min, kok status vaksin nya masih kuning ya, padahal udah vaksin yang kedua. Mohon bantuannya.;min kok status vaksin nya masih kuning ya padahal udah vaksin yang kedua mohon bantuannya
586;Negatif;@PLindungi min, kok sertifikat vaksin kedua saya di aplikasi belom ada ya? Pdhl saya cek di website udah keluar..kok ga sinkron ya?;min kok sertifikat vaksin kedua saya di aplikasi belom ada ya pdhl saya cek di website udah keluarkok ga sinkron ya
587;Negatif;@PLindungi min, kok sampai sekarang belum dapat sertivikat vaksin yang ke 2;min kok sampai sekarang belum dapat sertivikat vaksin yang ke
588;Negatif;@PLindungi min, klo habis lupa check-out lalu ga bisa check-in lg gmana? Tiap d scan QRnya malah muncul tombol check-out bukan check-in.;min klo habis lupa checkout lalu ga bisa checkin lg gmana tiap  scan qrnya malah muncul tombol checkout bukan checkin
589;Negatif;@PLindungi Min, kalo no hp hangus, gmn cara login ke aplikasi? Kl daftar ulang ga terkonek..;min kalo no hp hangus gmn cara login ke aplikasi kl daftar ulang ga terkonek
590;Negatif;@PLindungi min, kalau sudah vaksin tapi sertifikat gak keluar di aplikasi harus gimana min?;min kalau sudah vaksin tapi sertifikat gak keluar di aplikasi harus gimana min
591;Negatif;@PLindungi Min, ini gmn ya... apakah memang butuh wkt untuk surat vaksin bisa tersedia?  https://t.co/EJghwqb3RG;min ini gmn ya apakah memang butuh wkt untuk surat vaksin bisa tersedia
592;Negatif;@PLindungi min untuk yg tidak terdaftar gmn ya? Saya cek orangtua saya nik dan nama tidak ditemukan;min untuk yg tidak terdaftar gmn ya saya cek orangtua saya nik dan nama tidak ditemukan
593;Negatif;@PLindungi Min udah 2 bulan terkait kesalahan input NIK, sekalinya di respons malah bilang NIK nya gaada, lah iya kan orang keluhan nya salah NIK ????;min udah bulan terkait kesalahan input nik sekalinya di respons malah bilang nik nya gaada lah iya kan orang keluhan nya salah nik
594;Negatif;@PLindungi min tolong dongg ini kok peduli lindungi saya masih merah ya padahal udh vaksin dosis 1. Thankyou;min tolong dongg ini kok peduli lindungi saya masih merah ya padahal udh vaksin dosis thankyou
595;Negatif;@PLindungi Min tolong dong sertifikat vaksin mama saya belum muncul juga padahal sudah 2 kali vaksin dari bulan agustus;min tolong dong sertifikat vaksin mama saya belum muncul juga padahal sudah kali vaksin dari bulan agustus
596;Negatif;@PLindungi min tolong bantu eskalasi ke yg bisa kasi solusi sertifikat vaksin ke2 sy blm muncul di Apps PLindungi. Sdh ber kali2 kirim email juga twitt sejak 4 juli 2021 lalu lengkap dg copy ktp+selfie dg ktp+ bukti kartu vaksin (1 maret, 2 april). Smg ad;min tolong bantu eskalasi ke yg bisa kasi solusi sertifikat vaksin ke sy blm muncul di apps plindungi sdh ber kali kirim email juga twitt sejak juli lalu lengkap dg copy ktpselfie dg ktp bukti kartu vaksin maret april smg ad
597;Negatif;@PLindungi min tanya dong vaksin udah yang kedua Certificate belum dapat apa yang harus di lakukan?;min tanya dong vaksin udah yang kedua certificate belum dapat apa yang harus di lakukan
598;Negatif;@PLindungi Min sertivikat vaksin saya kok belum muncul yaa? Saya vaksin tgl 3 November;min sertivikat vaksin saya kok belum muncul yaa saya vaksin tgl november
599;Negatif;@PLindungi Min sertifikat saya kok blm muncul ya padahal sdh vaksin dosis 1&amp;min sertifikat saya kok blm muncul ya padahal sdh vaksin dosis amp
600;Negatif;@PLindungi Min saya berada di luar negri dan sudah di vaksin.dan ingin nya memasuk kan sertifikat vaksin dari malaysia ke apk peduli lindungi.dan syaratw2 di web sudah tak isi semua sejak tgl 8 -10 -2021 namun sampai sekarang gak masuk di apk peduli;min saya berada di luar negri dan sudah di vaksindan ingin nya memasuk kan sertifikat vaksin dari malaysia ke apk peduli lindungidan syaratw di web sudah tak isi semua sejak tgl namun sampai sekarang gak masuk di apk peduli
601;Negatif;@PLindungi min saya ada DM, di riwayat perjalanan saya ada satu tempat yg masih nyangkut belum check out dari tanggal 6 oktober, jadi kalau saya ke tempat itu saya gabisa check in, respon nya selalu ??anda masih check in di tempat ini?;min saya ada dm di riwayat perjalanan saya ada satu tempat yg masih nyangkut belum check out dari tanggal oktober jadi kalau saya ke tempat itu saya gabisa check in respon nya selalu anda masih check in di tempat ini
602;Negatif;@PLindungi Min NIK saya di pakai orang lain dan dia sudah 2kali vaksin sedangkan saya baru 1kali,itu gimana ya min? Sudah saya email tapi harus menyertakan NIK orang yang memakai NIK saya. Saya gatau min NIK asli dia berapa. Gimana ya min?;min nik saya di pakai orang lain dan dia sudah kali vaksin sedangkan saya baru kaliitu gimana ya min sudah saya email tapi harus menyertakan nik orang yang memakai nik saya saya gatau min nik asli dia berapa gimana ya min
603;Negatif;@PLindungi min mau tanya saya menggunakan pedulilindungi yg dalam 1 akun untuk 2 nama. Kalau ingin ganti nomer untuk yg satunya bagaimana ya?;min mau tanya saya menggunakan pedulilindungi yg dalam akun untuk nama kalau ingin ganti nomer untuk yg satunya bagaimana ya
604;Negatif;@PLindungi Min mau tanya saya ikut vaksin kedua pada 16 oktober 2021   Kok di pelindung lindungi masih pertama   Sedangkang  vaksin pertama sudah muncul sertifikat nya  Nomot tiket vaksin 1 dan 2 ada  Mohon infonya min;min mau tanya saya ikut vaksin kedua pada oktober kok di pelindung lindungi masih pertama sedangkang vaksin pertama sudah muncul sertifikat nya nomot tiket vaksin dan ada mohon infonya min
605;Negatif;@PLindungi min mau tanya dong min, ini kan udah vaksin 2x tapi masih statusnya merah min, jadi blm muncul sertifikat vaksinnya juga, mohon bantuannya min.;min mau tanya dong min ini kan udah vaksin  tapi masih statusnya merah min jadi blm muncul sertifikat vaksinnya juga mohon bantuannya min
606;Negatif;@PLindungi min mau tanya apakah kalo abis tes pcr dan hasilnya belum keluar, status di aplikasi auto jadi hitam ya? Makasih;min mau tanya apakah kalo abis tes pcr dan hasilnya belum keluar status di aplikasi auto jadi hitam ya makasih
607;Negatif;@PLindungi min mau tanya apa hasil tes antigen/pcr yg di upload oleh lab bisa delay ya ?? soalnya sy udah tes tapi kata orang lab sudah di upload cuman belum terbaca di sistem aplikasi peduli lindungi.;min mau tanya apa hasil tes antigenpcr yg di upload oleh lab bisa delay ya soalnya sy udah tes tapi kata orang lab sudah di upload cuman belum terbaca di sistem aplikasi peduli lindungi
608;Negatif;@PLindungi min mau tanya anak saya sudah vaksin, tapi di aplikasi pedulinya ga muncul sertifikatnya gimana ya?;min mau tanya anak saya sudah vaksin tapi di aplikasi pedulinya ga muncul sertifikatnya gimana ya
609;Negatif;@PLindungi Min maaf mau tanya sertifikat vaksin 1&amp;min maaf mau tanya sertifikat vaksin amp
610;Negatif;"@PLindungi min m Kenapa ya punya saya gk bisa check out jadi nya pas cek in ada tulisan ""anda masih check in di tempat ini"" , mohon solusinya  https://t.co/RkxHVTa2bS";min  kenapa ya punya saya gk bisa check out jadi nya pas cek in ada tulisan anda masih check in di tempat ini mohon solusinya
611;Negatif;@PLindungi min kok sertifikat vaksin saya di aplikasi peduli lindungi gaada yaa???? padahal orang ada;min kok sertifikat vaksin saya di aplikasi peduli lindungi gaada yaa padahal orang ada
612;Negatif;@PLindungi min kok gabisa login?stuck disitu trusss hdh  https://t.co/MUPq6w1x6x;min kok gabisa loginstuck disitu trusss hdh
613;Negatif;@PLindungi min kok gabisa login?stuck disitu trusss hdh  https://t.co/MUPq6w1x6x;min kok gabisa loginstuck disitu trusss hdh
614;Negatif;@PLindungi min kok apps nya ga mau di scroll ya mau daftar jadi ga bisa nih;min kok apps nya ga mau di scroll ya mau daftar jadi ga bisa nih
615;Negatif;@PLindungi min ko status vaksin saya masih merah ya di aplikasi peduli lindungi, tapi sertifikat saya sudah ada walau tanggal lahir salah...;min ko status vaksin saya masih merah ya di aplikasi peduli lindungi tapi sertifikat saya sudah ada walau tanggal lahir salah
616;Negatif;@PLindungi Min ko sertifikat vaksin  ke 2 saya blom ada yaa??? Mohon bantuannya min?????????;min ko sertifikat vaksin ke saya blom ada yaa mohon bantuannya min
617;Negatif;@PLindungi Min kenapa ya di hape mama saya pas mau login gabisa cuma bisa nyentang kebijakan privasi doang tp ga lgsg ke page selanjutnya.. Itu krna hpnya ya?;min kenapa ya di hape mama saya pas mau login gabisa cuma bisa nyentang kebijakan privasi doang tp ga lgsg ke page selanjutnya itu krna hpnya ya
618;Negatif;@PLindungi Min kenapa di akun saya ada Nama orang lain ?  https://t.co/BtZZRPa38H;min kenapa di akun saya ada nama orang lain
619;Negatif;"@PLindungi min kenapa call center, dm twitter itu susah banget. padahal saya butuh bantuan min. :"")";min kenapa call center dm twitter itu susah banget padahal saya butuh bantuan min
620;Negatif;"@PLindungi min kalo no hp saat daftar vaksin dan dapat sms juga dengan no itu, tapi waktu unduh sertifikat log in pakai no itu kok ""user not found"" ????? Mohon solusinya";min kalo no hp saat daftar vaksin dan dapat sms juga dengan no itu tapi waktu unduh sertifikat log in pakai no itu kok user not found mohon solusinya
621;Negatif;@PLindungi min kalo misalnya satu nomor hp yg dipake 2 orang itu gimana ya? apa masih bisa diklaim sertifikatnya di peduli lindungi atau gimana min mohon penjelasannya ??????;min kalo misalnya satu nomor hp yg dipake orang itu gimana ya apa masih bisa diklaim sertifikatnya di peduli lindungi atau gimana min mohon penjelasannya
622;Negatif;@PLindungi min kalau mau ganti nomor yg terdaftar vaksin bagaimana ya? Soalnya nomor sudah tidak aktif. Bantuin min;min kalau mau ganti nomor yg terdaftar vaksin bagaimana ya soalnya nomor sudah tidak aktif bantuin min
623;Negatif;@PLindungi min kalau mau ganti no hp gimna min;min kalau mau ganti no hp gimna min
624;Negatif;@PLindungi min ini saya udh vaksin kedua tapi sampe saat ini sertifikatnya kenapa gak keluarÂ²?  https://t.co/RT9wphinyR;min ini saya udh vaksin kedua tapi sampe saat ini sertifikatnya kenapa gak keluar
625;Negatif;@PLindungi min ini nenek saya sudah vaksin ke 2  sertifikat 1 dan 2 tdk keluar/ tdk ada d apk gmna ya min???????;min ini nenek saya sudah vaksin ke sertifikat dan tdk keluar tdk ada  apk gmna ya min
626;Negatif;@PLindungi min ini kenapa ya? Kok setelah centang persyaratan tidak ada opsi yg keluar atau lanjut ke halaman berikutnya? Apa ini bug?  https://t.co/sNmds1hIhL;min ini kenapa ya kok setelah centang persyaratan tidak ada opsi yg keluar atau lanjut ke halaman berikutnya apa ini bug
627;Negatif;@PLindungi min ini kenapa ya setiap checkin begini teruss  https://t.co/Q9pTuuCAMM;min ini kenapa ya setiap checkin begini teruss
628;Negatif;@PLindungi min ini kenapa gini yaaaa? Udah sebulan sertifikat vaksin belum juga keluar min????  https://t.co/ZLRqMh5q0O;min ini kenapa gini yaaaa udah sebulan sertifikat vaksin belum juga keluar min
629;Negatif;@PLindungi min ini ada konsumen saya mau print sertifikat vaksin, cm tidak bisa karena salah mendaftarkan nomor. Ada solusi?;min ini ada konsumen saya mau print sertifikat vaksin cm tidak bisa karena salah mendaftarkan nomor ada solusi
630;Negatif;@PLindungi Min ibu ku pas mau buka sertifikat terus masukin NIK kok keluar begini ya mohon bantuannya  https://t.co/eEedRW4Q1g;min ibu ku pas mau buka sertifikat terus masukin nik kok keluar begini ya mohon bantuannya
631;Negatif;@PLindungi Min diaplikasi setifikat saya kok belum keluar ya ...tapi pas saya cek dilink ini sudah ada;min diaplikasi setifikat saya kok belum keluar ya tapi pas saya cek dilink ini sudah ada
632;Negatif;@PLindungi min cara download sertifikat vaksin kalau no hp salah gimana ya?;min cara download sertifikat vaksin kalau no hp salah gimana ya
633;Negatif;@PLindungi Min cara daftar akun gimana ya Dari tadi dah di coba tapi gini terus gak ada reaksi apa pun  https://t.co/kayzqetAvv;min cara daftar akun gimana ya dari tadi dah di coba tapi gini terus gak ada reaksi apa pun
